POI,Interaction,Emotion
The Bund,Walking,Impressed
The Bund,Walking,Relaxed
The Bund,Walking,Curious
The Bund,Photography,Impressed
The Bund,Photography,Excited
The Bund,Observe,Impressed
The Bund,Observe,Relaxed
Yu Garden,Walking,Relaxed
Yu Garden,Walking,Curious
Yu Garden,Observe,Impressed
Yu Garden,Observe,Curious
Yu Garden,Shopping,Happy
Yu Garden,Shopping,Enjoyable
Nanjing Road,Walking,Impressed
Nanjing Road,Walking,Excited
Nanjing Road,Shopping,Happy
Nanjing Road,Shopping,Enjoyable
Nanjing Road,Photography,Excited
Lujiazui,Walking,Impressed
Lujiazui,Observe,Impressed
Lujiazui,Photography,Excited
Lujiazui,Photography,Curious
French Concession,Walking,Relaxed
French Concession,Taste,Enjoyable
French Concession,Taste,Satisfied
French Concession,Observe,Curious
